0,1,2
880,282,2
455,293,4
450,197,5
166,688,3
7,78,3
75,240,1
854,742,2
83,79,5
7,208,5
13,781,3
190,974,2
288,200,4
328,559,3
347,462,2
649,250,3
621,748,4
178,472,4
620,683,3
752,683,4
495,282,5
77,56,4
592,188,5
643,7,4
269,1005,4
332,449,4
318,282,4
903,281,4
178,1258,4
891,1028,3
711,343,3
534,325,4
168,181,4
313,1050,4
831,905,4
149,323,2
231,748,4
653,191,5
145,9,2
886,48,4
269,1135,2
454,1190,3
286,771,2
470,276,5
892,419,3
130,658,5
674,111,5
286,137,4
941,1007,4
711,313,4
42,195,5
459,22,5
313,616,5
257,166,4
198,248,3
660,930,2
472,568,5
405,1412,1
102,211,3
378,517,3
352,176,5
357,334,4
365,272,4
751,347,4
447,474,3
577,218,3
588,125,3
577,7,2
881,671,3
699,591,2
798,1032,3
595,1009,4
293,92,4
650,309,3
394,123,5
480,98,4
848,181,5
734,313,4
405,239,3
453,367,2
363,12,5
862,288,5
166,313,5
455,755,3
41,191,4
682,1016,2
834,316,5
336,232,3
123,64,3
715,58,4
251,281,4
798,143,5
332,117,4
128,159,4
95,241,3
515,322,3
712,40,5
144,1169,4
173,687,1
239,1065,5
405,954,4
154,474,5
896,431,3
256,216,5
692,411,4
488,1039,4
858,690,3
753,515,5
864,191,4
405,659,4
608,487,4
499,624,2
827,286,3
762,274,4
150,628,4
398,82,5
312,430,5
886,218,3
154,202,3
339,69,4
124,226,4
727,125,4
639,615,5
696,520,5
881,515,4
118,816,3
643,428,4
802,56,3
661,684,3
313,632,4
880,357,5
343,684,3
744,428,4
393,1183,3
26,455,3
1,169,5
264,209,5
209,181,4
909,165,5
292,475,5
58,1048,1
503,430,5
210,527,5
428,302,5
216,9,4
680,20,4
888,111,4
506,710,5
525,121,4
282,879,2
717,405,3
235,65,2
503,405,3
294,248,5
378,450,3
398,485,5
26,50,4
733,459,4
22,79,4
479,135,4
295,602,5
450,570,4
500,175,5
372,273,5
405,39,1
606,298,4
616,322,4
673,322,4
830,474,5
255,546,3
450,187,5
405,400,1
593,97,4
861,45,5
179,347,3
265,293,4
809,313,4
363,831,1
200,542,3
12,708,3
327,200,4
113,9,3
659,269,4
27,118,3
907,118,4
295,631,5
890,172,5
721,299,3
606,1277,3
92,115,3
523,1041,4
407,402,2
11,719,3
489,310,4
505,471,4
13,333,3
94,731,3
713,327,2
64,651,4
611,354,3
234,480,4
184,527,4
890,489,4
274,83,5
406,168,3
825,986,5
411,202,4
927,623,3
715,713,4
671,472,5
171,887,4
496,509,3
623,183,3
642,1032,4
727,268,4
881,174,5
896,476,2
334,207,4
716,708,4
889,175,4
14,588,4
664,367,3
275,542,3
188,326,3
500,370,3
727,397,2
450,926,4
583,265,4
770,151,5
536,8,5
101,928,2
450,140,3
714,258,4
924,1478,4
116,294,2
825,932,3
798,722,3
186,55,4
585,652,4
477,280,4
8,222,5
216,79,4
91,131,2
598,690,3
894,257,3
617,219,4
221,38,2
216,65,4
574,319,5
932,203,4
365,294,1
606,307,4
318,158,5
311,1050,3
130,1278,5
331,47,5
239,14,5
603,931,2
303,433,4
303,3,3
622,993,4
323,268,4
868,168,3
643,481,4
314,132,4
450,1030,1
402,286,5
395,196,4
848,72,5
94,1226,4
188,281,3
312,589,5
271,729,4
184,11,3
916,175,4
682,7,4
70,214,3
81,619,3
339,1110,4
313,131,4
58,109,4
200,228,5
62,306,4
588,215,5
145,737,2
815,559,3
837,476,3
235,701,4
177,127,5
709,181,4
194,997,3
90,632,5
256,591,5
795,931,2
71,14,5
601,294,1
716,153,4
245,473,2
460,250,2
449,473,3
848,1063,5
435,17,2
923,742,4
456,188,4
53,258,4
275,448,3
327,23,4
293,663,3
472,12,5
345,974,3
394,12,4
252,847,4
707,297,3
782,1190,2
279,1035,3
593,476,2
770,988,3
588,531,3
14,265,3
919,1073,4
303,221,5
46,288,2
334,631,4
608,126,1
747,517,5
682,238,3
456,211,4
230,195,3
207,847,3
436,287,4
712,234,2
610,489,4
545,742,4
308,162,4
130,71,5
466,898,1
198,682,3
606,123,3
398,491,5
868,217,2
886,449,3
632,51,4
14,475,3
938,685,3
694,449,4
276,250,4
115,511,5
557,508,4
864,473,4
450,732,3
332,595,4
178,268,4
264,645,4
393,1178,3
268,286,5
399,511,3
268,472,1
923,338,4
643,179,4
308,1456,4
786,528,5
703,845,4
747,945,4
605,284,2
476,85,2
549,515,5
380,98,4
605,597,3
474,657,5
190,685,3
864,118,4
189,499,4
291,324,1
561,589,3
747,327,4
660,184,3
828,463,2
429,531,5
716,663,5
18,99,5
682,365,3
846,568,4
755,304,4
747,287,4
86,872,3
510,243,3
385,8,5
873,750,3
82,11,4
740,326,3
175,98,5
130,88,2
15,280,3
492,83,4
381,97,4
655,1167,3
493,597,4
537,732,3
245,222,4
449,244,4
223,1150,2
62,4,4
298,172,4
474,610,3
13,847,4
296,688,1
795,191,4
377,168,5
325,482,4
919,23,3
909,86,5
102,94,2
48,132,5
721,282,4
504,423,4
712,420,3
618,625,4
13,166,5
776,179,4
130,47,3
936,282,2
144,480,4
327,367,4
647,357,5
269,659,4
194,25,2
907,1048,5
347,475,4
826,71,5
588,143,5
699,319,3
907,409,4
625,204,3
725,258,4
804,182,4
467,268,5
829,190,4
378,418,3
466,288,4
20,151,3
484,73,4
661,140,3
796,1001,2
268,568,3
21,325,4
474,313,4
276,404,4
169,213,5
919,268,3
820,302,5
279,180,2
453,476,3
452,66,4
511,1527,4
496,154,2
95,573,1
429,161,3
7,661,5
454,315,4
450,1192,5
495,69,3
508,506,5
684,381,2
7,612,5
560,168,4
655,1407,2
175,71,4
185,638,4
406,511,5
561,1015,2
497,763,3
792,21,3
311,216,5
608,735,4
84,100,4
829,105,3
599,471,4
771,283,4
665,1040,4
271,188,2
685,288,2
790,1188,3
833,324,3
364,875,3
938,121,5
435,58,3
296,961,5
186,79,5
863,303,1
721,317,4
930,257,4
416,223,5
401,866,3
650,692,3
387,320,4
188,54,4
846,211,2
655,528,5
250,258,4
747,483,5
432,123,3
636,1,3
299,313,3
217,233,4
932,14,4
178,748,4
235,344,5
347,79,5
203,628,4
96,478,2
264,269,5
429,44,3
6,538,2
436,507,4
504,143,4
452,517,2
796,988,3
207,226,2
374,934,3
761,471,3
824,322,4
466,909,5
474,736,3
201,844,2
216,231,2
43,732,4
505,174,4
458,619,2
330,963,5
506,580,3
301,281,4
261,410,5
434,1,4
14,382,5
796,768,2
717,313,5
913,22,5
592,603,5
776,127,5
838,750,4
467,762,3
718,405,5
104,591,4
91,187,5
524,607,3
59,1114,5
719,510,4
773,655,3
642,383,5
92,171,4
555,1054,3
847,496,4
393,479,4
346,31,4
826,570,4
16,510,4
844,300,3
639,194,4
637,268,2
896,67,2
660,313,4
934,661,4
805,1098,3
735,245,3
393,108,2
588,421,5
474,495,4
399,727,4
758,99,3
889,789,2
429,276,5
621,62,4
582,369,1
458,338,3
802,219,5
823,127,5
524,423,4
117,174,4
561,942,3
293,82,4
899,176,4
881,209,3
70,143,5
452,212,2
748,748,4
6,269,4
608,461,4
159,96,4
911,142,4
430,127,4
787,292,3
217,578,5
87,8,5
815,179,2
843,435,2
61,333,3
18,237,3
437,283,1
311,553,3
539,185,4
401,582,4
466,357,4
363,101,1
451,872,2
714,471,4
753,286,3
833,96,5
13,176,3
301,187,4
102,655,3
940,193,3
925,219,3
185,196,4
459,1060,1
541,168,4
198,526,4
442,230,3
406,220,3
401,462,4
738,655,3
535,211,4
137,261,5
135,33,3
479,436,4
704,632,3
450,503,4
538,258,3
18,967,3
393,628,4
416,142,4
545,743,3
267,230,4
555,274,4
495,732,4
752,751,4
1,180,3
387,186,2
235,79,4
912,654,3
59,581,5
886,589,3
919,319,3
303,673,4
927,401,2
542,238,4
447,762,3
580,687,3
405,1180,1
297,283,4
43,847,5
327,26,3
629,357,4
901,161,5
94,959,5
426,191,4
535,61,3
658,318,4
75,225,2
413,306,4
256,984,3
712,996,4
264,436,3
447,7,5
487,385,4
324,340,5
180,785,4
222,231,2
201,1170,4
342,584,4
912,483,5
276,809,2
867,294,3
749,148,3
562,636,2
387,206,4
467,919,2
487,921,5
896,82,3
128,238,4
213,197,5
378,323,3
239,509,5
766,485,3
654,739,4
798,801,3
405,773,1
286,559,4
373,715,2
81,717,2
305,166,4
807,199,5
290,133,3
291,96,4
448,1176,2
761,840,4
13,882,3
666,1154,3
551,79,5
526,260,1
334,494,4
38,423,5
619,121,5
897,622,3
711,1285,3
62,188,3
23,427,5
929,496,3
198,402,3
144,160,2
560,654,5
56,435,3
634,546,4
195,143,5
293,294,2
314,833,4
110,22,4
511,322,3
537,190,4
405,1111,1
561,62,3
5,455,4
158,144,4
279,29,2
346,72,3
172,178,3
612,864,4
929,172,4
148,663,5
12,215,4
629,39,2
939,471,5
62,712,4
758,297,4
710,334,2
497,153,4
437,450,3
823,606,4
699,7,2
64,111,4
640,751,4
660,207,4
524,742,3
666,121,3
230,99,3
268,364,3
496,99,3
271,216,5
407,288,4
18,367,4
727,1188,2
239,483,5
155,988,2
430,436,4
429,972,4
918,88,2
924,1400,4
897,670,3
85,1167,3
186,983,3
367,564,2
293,553,3
441,25,3
443,39,1
537,489,3
43,151,4
545,230,5
773,567,2
665,432,4
732,324,2
779,21,5
650,612,4
774,235,1
576,815,3
644,328,4
380,22,4
880,222,4
655,517,4
763,137,4
498,1103,4
320,95,3
372,448,4
378,1147,4
868,169,5
82,127,2
327,451,4
301,1091,3
548,649,4
903,47,5
342,100,5
314,1095,3
269,405,1
749,292,4
406,515,2
269,194,5
629,173,5
465,132,4
652,395,3
561,273,5
429,808,3
141,15,5
831,181,5
875,4,3
727,260,1
468,71,5
502,350,3
269,58,2
354,258,4
283,91,5
151,56,4
383,9,5
253,259,2
666,147,3
222,869,3
56,295,3
868,646,5
846,586,2
881,186,3
559,187,3
212,528,5
741,673,4
99,210,5
758,527,5
308,31,3
26,271,3
110,873,2
758,526,4
72,181,1
458,346,4
846,482,5
940,191,4
609,475,2
666,527,4
83,820,2
743,222,4
526,332,2
886,1217,4
498,190,4
569,762,3
707,476,3
815,521,4
561,222,3
385,458,3
484,427,5
749,168,5
734,699,4
749,180,4
199,408,5
90,1192,5
65,197,5
775,269,4
211,705,4
79,906,5
296,274,4
621,17,4
327,396,3
59,747,4
692,194,4
612,237,3
412,28,4
410,312,2
92,81,3
99,240,4
745,28,2
361,1103,4
280,769,3
6,471,2
16,941,1
234,186,3
103,257,3
200,758,3
760,278,4
496,1401,3
640,382,4
566,480,4
863,259,1
629,87,5
246,420,3
43,625,4
336,124,1
828,355,2
328,245,4
766,530,4
90,607,5
667,223,5
198,480,4
880,315,5
308,461,4
253,273,3
75,476,1
429,382,3
344,183,5
295,401,3
268,453,1
600,511,5
846,294,3
291,416,4
417,101,3
87,118,4
886,208,3
267,554,3
136,116,5
342,327,4
867,655,4
374,1046,5
457,160,4
922,228,4
389,514,5
372,12,4
339,961,3
485,321,3
303,1142,4
308,653,5
535,47,5
751,62,4
545,234,3
280,222,3
916,273,3
56,1091,2
764,275,4
912,318,4
648,181,5
852,820,4
779,411,3
843,186,2
786,655,4
727,275,3
109,527,3
343,252,4
267,89,5
391,61,5
293,216,4
819,300,5
514,14,3
715,239,4
450,707,5
454,431,3
63,79,3
943,385,4
363,1014,1
463,455,3
249,13,4
798,83,4
622,1181,4
308,611,4
478,71,3
753,499,3
474,431,4
387,845,4
234,873,3
235,523,5
192,1405,5
892,233,5
137,50,5
834,276,5
787,359,3
28,95,3
774,193,5
460,313,4
708,934,4
897,465,5
18,208,4
650,181,4
303,461,4
632,82,4
892,131,4
42,176,3
44,190,5
26,475,3
201,375,3
766,568,2
892,22,5
779,328,4
343,118,2
274,150,5
608,218,4
413,936,4
236,56,5
343,11,5
916,132,3
144,326,4
738,191,4
416,265,5
533,218,2
264,98,5
307,173,5
889,484,4
851,252,3
881,395,3
334,161,3
174,762,5
747,639,5
357,275,5
889,482,4
256,1231,3
49,145,1
38,79,3
497,393,4
28,31,4
18,735,4
924,82,4
468,955,4
119,717,3
312,414,3
506,168,5
239,238,5
936,995,3
193,362,3
478,50,3
472,825,5
407,29,3
109,88,4
504,1041,3
115,69,1
463,10,1
506,193,4
883,749,3
301,721,3
622,240,3
378,167,4
77,156,4
58,1103,5
361,50,5
782,354,2
327,98,4
189,21,2
83,323,4
561,157,4
92,672,3
460,286,4
399,1192,3
650,561,3
174,1053,5
35,259,4
918,517,3
233,623,3
241,332,3
633,871,3
178,1012,4
178,203,4
92,69,5
562,153,4
416,417,3
571,174,4
796,1101,5
417,792,4
315,504,3
457,660,5
870,693,4
487,58,5
526,147,4
435,420,4
731,283,4
210,926,2
125,1000,3
726,248,2
497,771,4
62,288,2
470,283,5
704,14,3
618,2,2
894,827,3
83,254,2
751,82,4
130,128,4
641,134,5
554,289,4
826,161,3
916,194,4
468,7,3
490,455,4
671,22,4
595,922,4
297,185,5
593,255,5
77,132,3
665,172,4
167,1147,4
468,377,2
493,191,4
82,216,4
311,515,4
16,302,5
655,193,3
299,204,4
628,302,5
650,663,4
751,917,2
486,333,2
927,409,4
697,323,4
917,763,3
189,214,1
846,566,5
96,474,4
739,197,1
383,197,5
450,155,4
399,57,4
450,651,5
831,687,2
234,47,2
276,154,4
266,9,4
429,1071,2
913,427,4
60,443,4
864,44,4
401,483,4
344,148,2
62,96,4
625,23,4
840,732,3
164,411,2
551,22,5
901,237,3
804,161,4
99,409,2
694,1126,5
749,1139,3
342,204,4
363,333,1
653,819,3
564,323,3
479,632,5
665,31,3
271,462,4
216,364,2
286,161,2
796,549,3
379,310,4
435,616,2
72,357,4
835,514,3
11,42,3
213,13,4
403,127,4
903,721,4
833,449,2
436,238,3
101,111,2
774,82,2
582,258,4
178,1038,2
653,290,3
23,588,4
593,949,2
436,504,4
72,443,3
454,255,4
389,820,3
116,896,2
606,827,3
647,298,3
865,928,1
232,98,4
572,222,2
277,50,3
473,1142,5
224,528,3
92,402,3
495,507,4
457,82,5
405,661,3
348,742,4
328,356,3
158,174,5
372,875,4
184,88,3
255,841,1
634,315,5
233,647,5
883,237,3
499,55,4
290,222,4
495,133,3
201,1166,3
704,491,5
393,134,2
463,282,3
290,229,3
548,471,5
132,664,5
264,603,5
234,174,3
230,70,4
293,151,4
279,391,5
666,429,5
832,294,4
291,94,2
684,118,4
655,126,2
567,673,3
262,95,3
925,558,1
308,597,3
13,483,5
784,1038,3
865,676,2
95,199,5
488,96,3
707,116,5
6,86,3
798,941,3
448,288,1
181,363,1
182,123,4
788,141,3
806,1018,4
320,62,4
760,819,1
798,225,4
346,147,4
333,315,5
934,420,4
727,451,5
404,66,4
13,655,5
469,161,3
746,64,4
186,302,3
158,100,5
222,101,4
757,17,3
13,475,3
805,223,5
894,336,3
493,405,2
470,874,3
276,471,4
222,441,2
90,762,3
100,880,1
642,946,2
385,959,3
359,50,5
533,50,5
554,728,3
323,886,3
327,650,4
595,294,2
425,39,4
518,829,3
398,494,3
399,338,1
538,191,5
800,15,4
328,662,3
878,213,3
13,180,5
533,345,3
377,234,5
186,56,3
805,144,3
271,845,1
90,464,5
939,127,5
264,702,4
457,44,4
7,641,5
832,307,4
14,25,2
416,234,5
922,715,3
514,473,3
433,325,2
914,692,3
194,1220,3
188,568,4
577,15,3
663,319,1
230,515,5
87,89,4
373,1230,3
453,693,5
92,48,4
405,660,2
828,1073,4
1,60,5
553,1124,4
271,582,3
676,748,4
853,288,4
489,984,5
880,80,2
197,62,2
84,294,3
312,228,3
788,132,5
852,685,3
842,333,4
652,96,4
923,455,4
758,629,4
306,476,3
118,7,5
347,230,4
207,154,2
934,144,4
308,1154,2
548,323,4
343,476,2
136,1142,4
30,69,5
101,257,4
686,197,5
161,191,2
397,680,1
511,358,1
654,408,5
150,246,5
795,201,4
327,87,3
399,545,2
451,876,4
933,471,3
416,477,4
829,310,3
667,435,3
244,1109,4
640,189,5
293,280,2
503,498,5
711,1115,4
311,735,4
788,1112,3
198,176,4
239,632,5
883,213,2
406,472,3
670,519,5
933,184,1
201,789,3
642,768,4
271,200,5
329,147,3
916,824,3
243,191,5
506,54,4
405,382,1
125,50,5
627,193,5
907,462,4
560,358,3
804,194,4
833,182,5
344,100,5
151,70,4
307,433,5
299,1073,4
385,224,2
276,796,1
249,218,3
343,127,5
917,740,5
608,44,4
682,862,1
269,469,4
916,523,3
757,176,5
880,508,4
896,508,2
527,673,4
378,655,4
606,125,4
75,1001,1
378,404,4
639,28,4
682,68,5
133,315,4
691,500,3
369,179,4
659,255,3
145,259,3
880,393,3
145,300,3
9,521,4
90,651,5
346,121,4
856,300,4
598,312,5
256,172,3
882,195,5
889,382,2
102,734,2
474,28,4
875,921,5
280,77,3
24,223,5
712,69,3
330,393,4
642,779,3
318,56,3
402,480,5
933,229,1
886,550,4
211,215,5
21,979,2
142,169,5
405,1042,1
698,511,2
442,41,4
264,1069,5
249,64,5
504,393,3
862,845,4
639,512,2
305,1018,5
189,136,4
62,230,2
264,179,5
566,403,3
136,283,4
586,551,2
805,175,5
708,993,4
885,1,5
777,205,4
116,246,5
133,300,3
210,211,5
280,82,2
699,544,4
361,179,4
94,346,4
423,313,4
267,145,4
416,1041,3
561,675,3
280,1466,5
836,210,4
467,327,4
942,197,5
13,477,4
13,224,4
600,228,3
454,121,4
10,420,4
588,347,5
707,1018,3
389,133,5
537,495,2
297,208,4
291,939,4
130,1215,2
1,251,4
207,15,4
892,367,4
559,73,4
94,1012,4
22,566,3
201,222,3
278,515,5
202,173,2
254,35,2
405,179,1
291,285,4
315,673,4
928,269,5
417,391,2
180,631,5
416,281,5
92,930,2
615,179,4
228,812,5
94,317,5
394,232,4
70,405,3
158,593,4
276,392,3
184,340,5
256,781,5
925,98,4
665,419,4
267,55,4
883,421,5
456,1107,4
494,514,2
479,270,4
116,7,2
32,181,4
592,443,5
234,842,4
838,45,4
615,1065,4
308,55,3
864,562,4
780,98,1
223,1,4
545,211,3
851,412,2
319,350,3
709,576,4
470,813,3
222,569,2
506,772,1
810,339,5
399,541,3
291,466,5
381,657,4
655,742,3
852,50,5
44,474,4
246,724,4
102,96,3
339,451,3
911,514,3
488,742,4
156,346,3
313,651,3
314,983,4
336,25,3
456,603,5
758,732,4
815,514,1
286,100,3
249,135,5
308,54,2
64,662,4
101,411,2
141,120,4
880,795,2
111,313,4
106,435,3
703,294,2
653,135,5
392,534,4
457,1037,2
280,197,2
709,214,1
450,608,4
405,143,5
184,220,3
904,535,3
683,264,2
880,763,3
940,357,4
139,268,4
894,535,4
778,246,2
449,137,5
480,661,4
349,471,3
894,1255,4
257,60,5
254,204,4
629,566,5
16,448,5
308,50,5
456,23,4
711,217,4
650,898,3
936,3,4
354,222,3
276,1046,3
312,491,5
303,181,5
916,70,4
181,878,1
378,436,4
699,271,3
284,304,4
339,163,4
621,125,4
425,675,3
655,1281,3
551,121,5
505,204,3
151,425,4
871,226,5
206,360,1
398,153,4
931,281,3
804,125,4
91,22,5
272,423,4
665,483,4
628,258,5
850,705,5
393,1210,3
805,121,3
377,7,4
117,751,5
456,1328,4
405,1518,2
399,1459,3
570,321,1
13,576,3
642,117,4
405,855,1
546,690,2
798,14,2
519,879,5
326,241,3
299,936,4
705,265,5
370,199,4
385,526,3
835,216,4
751,487,5
294,1089,2
10,82,4
798,707,2
354,513,5
886,1073,4
701,311,5
899,603,4
303,450,3
631,288,3
746,161,3
200,132,5
836,611,5
641,303,3
545,549,4
339,94,2
436,234,3
660,845,3
218,153,4
864,561,4
892,636,4
883,174,4
621,154,5
458,137,5
870,90,4
567,1451,3
448,303,4
49,219,1
826,403,4
771,95,4
18,386,2
472,72,5
766,482,3
398,162,5
435,926,3
435,448,3
230,294,5
303,998,3
790,1044,4
934,423,3
436,159,4
169,172,5
862,462,4
881,1057,1
429,540,3
130,888,3
686,430,4
293,196,4
11,662,3
561,318,3
756,399,2
892,291,4
864,117,4
10,274,4
655,734,3
178,168,4
219,215,5
355,306,4
704,302,4
70,28,4
840,83,5
537,117,2
738,71,3
303,118,2
373,748,4
586,96,4
130,433,3
233,483,5
655,200,4
450,173,5
87,866,4
343,124,4
727,94,4
543,381,4
887,1279,3
7,648,5
786,211,4
219,179,5
613,12,5
60,207,3
180,367,1
65,179,3
805,422,4
833,379,2
16,39,5
378,210,4
583,276,4
6,173,5
532,181,5
283,294,4
610,143,5
721,715,2
109,42,1
652,538,4
851,1034,1
328,62,3
671,147,1
535,32,3
450,11,5
468,318,5
833,526,4
942,304,5
133,902,3
880,418,4
493,98,4
463,116,5
406,506,4
147,319,4
833,1019,5
517,258,5
56,191,4
618,709,2
398,211,4
612,25,3
193,393,4
360,15,3
548,313,5
303,1052,2
582,15,3
707,1142,1
489,883,2
234,22,4
871,511,2
620,1503,4
102,117,3
222,12,5
897,1,5
878,1149,4
41,518,3
454,875,1
303,387,5
600,1419,3
16,642,5
378,1311,4
271,179,4
429,235,3
766,968,4
354,97,3
292,11,5
932,441,2
847,183,4
174,276,5
932,385,2
627,956,2
405,388,4
29,286,5
887,718,1
393,785,3
217,679,5
110,739,4
146,286,3
941,763,3
405,859,1
268,217,2
105,271,2
21,678,2
56,728,3
527,431,3
737,89,4
268,134,5
178,222,4
885,69,4
870,223,4
276,769,1
615,294,3
738,747,4
724,351,1
936,1129,5
213,31,4
299,1119,4
862,1117,4
749,133,4
462,315,4
790,376,2
892,826,2
92,986,2
474,489,4
789,284,3
343,275,5
600,1407,2
75,845,3
883,785,3
655,640,2
495,403,5
747,514,4
379,427,5
348,276,3
144,285,4
608,190,4
189,742,3
436,215,4
60,751,2
474,660,5
185,318,4
458,147,2
280,1473,3
890,516,2
386,222,4
244,886,5
747,63,3
524,111,5
244,744,3
796,486,5
429,223,4
407,193,3
376,663,3
916,125,3
864,596,4
421,164,4
693,631,3
610,51,5
389,835,5
24,55,5
507,879,5
665,527,3
627,1134,1
323,300,2
920,332,3
383,100,4
292,659,5
919,253,3
346,98,2
704,1299,3
447,597,3
247,736,5
